ID,HR1,HR2,HR4,HF1,HF2,HF4
106,338.4638054,659.545778,738.4994483,602.5956842,885.0627439,1371.343555
107,371.6335898,649.017031,736.8306207,750.5348951,914.4323974,871.9881725
109,455.2981185,597.8782484,698.5844689,642.9552497,1184.900947,1074.49852
110,378.6406594,704.628328,820.7550779,609.6163758,907.571416,1247.610667
111,385.8739683,602.4949143,742.1761903,550.4676425,871.2071745,1142.707175
112,492.6338052,680.6712396,956.8018288,749.1151837,1111.250072,1240.814073
113,313.0809201,650.5595605,727.2368014,684.9255665,969.0187387,1394.368591
114,361.6080526,706.7073579,708.3197782,550.7849051,969.2165822,1392.768096
116,407.4595401,826.6187876,922.6016097,849.8355669,1429.819844,1548.080799
117,284.1298067,564.3357718,601.3557859,531.9556136,839.5116838,818.5325582
118,609.4645111,928.8914355,1071.52229,793.8669985,1053.627654,1222.016535
119,349.7139258,666.0676229,803.2918365,739.1253616,1146.70435,1437.499486
120,669.8524033,864.9914603,935.7413135,756.209412,1248.542511,1330.111388
21,388.0060166,954.3127942,1059.086273,763.6064108,1142.225233,1428.770928
122,517.6751933,699.8469356,825.1630383,506.7159334,1094.991956,1154.049518
123,426.2264815,914.2741868,896.1442958,810.7246196,1301.03045,1470.248346