ID,hr1,hr2,hr4,hf1,hf2,hf4
106,0.979591837,0.625,0.163265306,0.795918367,0.416666667,0.020408163
107,0.98,0.68,0.68,0.28,0,0.38
109,0.94,0.34,0.36,0.8,0.46,0.1
110,0.8,0.66,0.2,0.86,0.48,0
111,0.62,0.44,0.52,0.56,0.38,0.48
112,0.88,0.66,0.38,0.5,0.22,0.36
113,1,0.8,0.6,0.4,0.2,0
114,0.92,0.62,0.74,0.44,0.28,0
116,0.98,0.7,0.7,0.42,0.2,0
117,0.96,0.16,0.8,0.56,0.04,0.48
118,1,0.6,0.2,0.8,0.38,0.02
119,1,0.74,0.54,0.5,0.2,0.02
120,0.92,0.74,0.64,0.38,0.1,0.22
21,1,0.68,0.34,0.72,0.26,0
122,0.38,0.44,0.5,0.2,0.5,0.98
123,0.58,0.5,0.5,0.56,0.38,0.48