Variable,Estimate,N. Models,CI Lower,CI Upper,Importance,,,,,,,,,,,,
Abstraction,-0.4763,512,-0.6164,-0.3362,0.9526,,,,,,,,,,,,
WorkingMem,-0.0517,448,-0.0852,-0.0183,0.9136,,,,,,,,,,,,
SelectionErr,0.1502,512,-0.3298,0.6303,0.4750,,,,,,,,,,,,
SelectionRT,0.0000,512,-0.0001,0.0001,0.3263,,,,,,,,,,,,
Abstraction:SelectionErr,-0.0225,240,-0.1174,0.0723,0.0732,,,,,,,,,,,,
Abstraction:WorkingMem,0.0006,76,-0.0036,0.0048,0.0637,,,,,,,,,,,,
SelectionRT:WorkingMem,-3.18E-06,48,-1.59E-05,9.53E-06,0.0611,,,,,,,,,,,,
SelectionErr:SelectionRT,2.02E-06,136,-1.09E-05,1.49E-05,0.0437,,,,,,,,,,,,
SelectionErr:WorkingMem,-1.64E-03,29,-8.82E-03,5.55E-03,0.0336,,,,,,,,,,,,
Abstraction:SelectionRT,1.41E-06,352,-4.88E-06,7.70E-06,0.0314,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,