Subject,condition,selectionrate,Abstraction,WorkingMem,SelectionRT,SelectionErr
105,Control,0.66666667,2,0,811.1144,0.9946809
106,Control,0.83333333,2,0,889.4082,0.8831169
107,Control,1,2,0,1131.1866,0.9964158
108,Control,1,2,0,797.2031,0.9469388
109,Control,0.86206897,2,0,867.0121,0.8153153
110,Control,0.96551724,2,0,768.2805,0.956
111,Control,1,2,0,511.6769,0.9773585
112,Control,0.9,2,0,672.6743,0.9961686
113,Control,0.68965517,2,0,927.4793,0.9728261
114,Control,1,2,0,851.5385,0.9605735
116,Control,1,2,0,1493.3495,0.952381
117,Control,1,2,0,670.6816,0.9857143
118,Control,0.86666667,2,0,837.4772,0.9205021
119,Control,1,2,0,1007.6959,0.90681
120,Control,1,2,0,864.1787,0.8613139
121,Control,0.93333333,2,0,694.5261,0.9101562
122,Control,0.93333333,2,0,672.6743,0.9961686
123,Control,0.35714286,2,0,1108.3227,0.9277108
105,Delay,0.7,2,4,757.1789,0.9895288
106,Delay,0.56666667,2,4,950.6401,0.7727273
107,Delay,0.63333333,2,4,1067.4644,0.9244186
108,Delay,0.67857143,2,4,925.6006,0.9302326
109,Delay,0.82758621,2,4,971.5693,0.8318182
110,Delay,0.72413793,2,4,784.6996,0.9792746
111,Delay,0.65517241,2,4,551.1269,0.9774011
112,Delay,0.36666667,2,4,765.7472,0.9583333
113,Delay,0.96551724,2,4,850.5492,0.9728682
114,Delay,0.5,2,4,873.3826,0.9275362
116,Delay,0.33333333,2,4,1328.4339,0.967033
117,Delay,0.63333333,2,4,687.8099,0.9771429
118,Delay,0.73333333,2,4,919.9586,0.8960396
119,Delay,0.56666667,2,4,1025.1769,0.961039
120,Delay,0.5,2,4,883.9728,0.8507463
121,Delay,0.73333333,2,4,685.9147,0.880597
122,Delay,0.7,2,4,765.7472,0.9583333
123,Delay,0.55172414,2,4,922.7938,0.9726027
105,Switch,0.33333333,3,0,856.2622,0.9444444
106,Switch,0.4,3,0,1161.5936,0.7524752
107,Switch,0.3,3,0,1231.2562,0.9375
108,Switch,0.2962963,3,0,1022.5845,0.9178082
109,Switch,0.3,3,0,1000.5403,0.7866667
110,Switch,0.27586207,3,0,514.5207,0.987013
111,Switch,0.3,3,0,618.8998,0.9746835
112,Switch,0.14285714,3,0,935.9416,0.9895833
113,Switch,0.36666667,3,0,1212.1907,0.9473684
114,Switch,0.43333333,3,0,854.9276,0.920354
116,Switch,0.66666667,3,0,1603.3343,0.8837209
117,Switch,0.36666667,3,0,919.3778,0.9368421
118,Switch,0.4,3,0,984.7327,0.8224299
119,Switch,0.4,3,0,1137.1263,0.8796296
120,Switch,0.06666667,3,0,1026.0594,0.5789474
121,Switch,0.33333333,3,0,920.9537,0.8372093
122,Switch,0.36666667,3,0,935.9416,0.9895833
123,Switch,0.62068966,3,0,1185.8333,0.9570552
105,Dual,0.3,3,4,1022.1762,0.9259259
106,Dual,0.2,3,4,1023.4478,0.7924528
107,Dual,0.06666667,3,4,1247.0979,0.875
108,Dual,0,3,4,,
109,Dual,0.03333333,3,4,836.3142,0.5
110,Dual,0.03448276,3,4,,
111,Dual,0.06666667,3,4,845.3416,0.9375
112,Dual,0.57142857,3,4,,
113,Dual,0,3,4,,
114,Dual,0.06666667,3,4,989.3521,1
116,Dual,0,3,4,,
117,Dual,0,3,4,,
118,Dual,0,3,4,,
119,Dual,0.03333333,3,4,1376.5456,0.8571429
120,Dual,0.43333333,3,4,1026.4461,0.745283
121,Dual,0,3,4,,
122,Dual,0,3,4,,
123,Dual,0.46666667,3,4,1155.6762,0.9259259